0,Australian Hardcourt Championships,Adelaide,0
1,Gold Flake Open,Chennai,0
2,Qatar Open,Doha,0
3,Heineken Open,Auckland,0
4,Sydney International,Sydney,0
5,Australian Open,Melbourne,0
6,Dubai Open,Dubai,0
7,Marseille Open,Marseille,0
8,Sybase Open,San Jose,0
9,Kroger St. Jude,Memphis,0
10,ABN AMRO World Tennis Tournament,Rotterdam,0
11,AXA Cup,London,0
12,Mexican Open,Mexico City,1
13,Copenhagen Open,Copenhagen,0
14,Citrix Tennis Championships,Delray Beach,0
15,Chevrolet Cup,Santiago,1
16,Colombia Open,Bogota,1
17,Franklin Templeton Tennis Classic,Scottsdale,0
18,Indian Wells TMS,Indian Wells,0
19,Ericsson Open,Miami,0
20,Galleryfurniture.com Tennis Challenge,Atlanta,1
21,Grand Prix Hassan II,Casablanca,1
22,Estoril Open,Estoril,1
23,Monte Carlo Masters,Monte Carlo,1
24,Open Seat Godo,Barcelona,1
25,Mallorca Open,Mallorca,1
26,BMW Open,Munich,1
27,U.S. Clay Court Championships,Orlando,1
28,Rome TMS,Rome,1
29,Hamburg TMS,Hamburg,1
30,Internationaler Raiffeisen Grand Prix,St. Polten,1
31,French Open,Paris,1
32,Gerry Weber Open,Halle,2
33,Stella Artois,Queens Club,2
34,Nottingham Open,Nottingham,2
35,Heineken Trophy,'s-Hertogenbosch,2
36,Wimbledon,London,2
37,Swedish Open,Bastad,1
38,Gstaad Open,Gstaad,1
39,Hall of Fame Championships,Newport,2
40,Dutch Open,Amsterdam,1
41,Mercedes Cup,Stuttgart,1
42,Croatia Open,Umag,1
43,Generali Open,Kitzbuhel,1
44,Mercedes-Benz Cup,Los Angeles,0
45,Tennis Int'l of San Marino,San Marino,1
46,Toronto TMS,Toronto,0
47,Cincinnati TMS,Cincinnati,0
48,RCA Championships,Indianapolis,0
49,Legg Mason Classic,Washington,0
50,The Hamlet Cup,Long Island,0
51,US Open,New York,0
52,Open Romania,Bucharest,1
53,President's Cup,Tashkent,0
54,Campionati Internazionali Di Sicilia,Palermo,1
55,Salem Open,Hong Kong,0
56,Japan Open,Tokyo,0
57,CA Tennis Trophy,Vienna,0
58,Heineken Open Shanghai,Shanghai,0
59,adidas Open,Toulouse,0
60,Swiss Indoors,Basel,3
61,Kremlin Cup,Moscow,3
62,Stuttgart TMS,Stuttgart,0
63,Grand Prix de Lyon,Lyon,3
64,St. Petersburg Open,St. Petersburg,0
65,BNP Paribas,Paris,3
66,Samsung Open,Brighton,0
67,Stockholm Open,Stockholm,0
68,Masters Cup,Lisbon,0
69,AAPT Championships,Adelaide,0
70,TATA Open,Chennai,0
71,adidas International,Sydney,0
72,Milan Indoors,Milan,3
73,Bellsouth Open,Vina del Mar,1
74,Copa AT&T,Buenos Aires,1
75,Abierto Mexicano,Acapulco,1
76,Dubai Championships,Dubai,0
77,Verizon Tennis Challenge,Atlanta,1
78,U.S. Men's Clay Court Championships,Houston,1
79,Idea Prokom Open,Sopot,1
80,Montreal TMS,Montreal,0
81,Hamlet Cup,Long Island,0
82,Gelsor Open,Bucharest,1
83,Brasil Open,Salvador,0
84,Pacific Life Open,Indian Wells,0
85,NASDAQ-100 Open,Miami,0
86,Queens Club,Queens Club,2
87,Ordina Open,'s-Hertogenbosch,2
88,Energis Open,Amersfoort,1
89,TD Waterhouse Cup,Long Island,0
90,Madrid Masters,Madrid,0
91,Qatar Exxon Mobil Open,Doha,0
92,Breil ATP,Milan,3
93,Open 13,Marseille,0
94,Siebel Open,San Jose,0
95,International Championships,Delray Beach,0
96,CAM Open Comunidad Valenciana,Valencia,1
97,Telecom Italia Masters Roma,Rome,1
98,Allianz Suisse Open,Gstaad,1
99,Priority Telecom Dutch Open,Amersfoort,1
100,Western & Southern Financial Group Masters,Cincinnati,0
101,Thailand Open,Bangkok,0
102,Open de Moselle,Metz,0
103,Indesit ATP Milano Indoor ,Milan,3
104,ATP Buenos Aires 2004,Buenos Aires,1
105,China Open,Beijing,0
106,Next Generation Hardcourts,Adelaide,0
107,Medibank International,Sydney,0
108,Internazionali di Lombardia,Milan,3
109,ATP Buenos Aires 2005,Buenos Aires,1
110,SAP Open,San Jose,0
111,Regions Morgan Keegan Championships,Memphis,0
112,Dubai Duty Free Men's Open,Dubai ,0
113,Channel Open,Scottsdale,0
114,Open de Tenis Comunidad Valenciana,Valencia,1
115,Rogers Cup,Montreal,0
116,Pilot Pen Tennis,New Haven,0
117,Vietnam Open,Ho Chi Min City,0
118,BA-CA Tennis Trophy,Vienna,0
119,Davidoff Swiss Indoors,Basel,3
120,Next Generation Adelaide International,Adelaide,0
121,Chennai Open,Chennai,0
122,Movistar Open,Vina del Mar,1
123,PBZ Zagreb Indoors,Zagreb,3
124,Copa Telmex,Buenos Aires,1
125,Dubai Tennis Championships,Dubai ,0
126,Campionati Internazional d'Italia,Rome,1
127,Hypo Group Tennis International,Portschach,1
128,Red Letter Days Open,Nottingham,2
129,Synsam Swedish Open,Bastad,1
130,Countrywide Classic,Los Angeles,0
131,Rogers Masters,Toronto,0
132,Kingfisher Airlines Tennis Open,Mumbai,0
133,Sony Ericsson Open,Miami,0
134,Internazionali BNL d'Italia,Rome,1
135,The Nottingham Open,Nottingham,2
136,Catella Swedish Open,Bastad,1
137,Indianapolis Tennis Championships,Indianapolis,0
138,Austrian Open,Kitzbuhel,1
139,AIG Japan Open Tennis Championships,Tokyo,0
140,Open Sabadell Atlntico 2008,Barcelona,1
141,Orange Prokom Open,Warsaw,1
142,Slazenger Open,Nottingham,2
143,Studena Croatia Open,Umag,1
144,Brisbane International,Brisbane,0
145,SA Tennis Open,Johannesburg ,0
146,BNP Paribas Open,Indian Wells,0
147,Open Banco Sabadell ,Barcelona,1
148,Serbia Open,Belgrade,1
149,Mutua Madrilea Madrid Open,Madrid,1
150,AEGON Championships,Queens Club,2
151,AEGON International,Eastbourne,2
152,International German Open,Hamburg,1
153,LA Tennis Open,Los Angeles,0
154,Proton Malaysian Open,Kuala Lumpur,0
155,Rakuten Japan Open Tennis Championships,Tokyo,0
156,Shanghai Masters,Shanghai,0
157,Valencia Open,Valencia,0
158,BNP Paribas Masters,Paris,0
159,Open de Nice Cte dAzur,Nice,1
160,Unicef Open,'s-Hertogenbosch,2
161,SkiStar Swedish Open,Bastad,1
162,Atlanta Tennis Championships,Atlanta,0
163,German Open Tennis Championships ,Hamburg,1
164,Farmers Classic,Los Angeles,0
165,Open Sud de France,Montpellier,0
166,Copa Claro,Buenos Aires,1
167,Bet-At-Home Cup,Kitzbuhel,1
168,Winston-Salem Open at Wake Forest University,Winston-Salem,0
169,Malaysian Open,Kuala Lumpur,0
170,Erste Bank Open,Vienna,0
171,Apia International,Sydney,0
172,VTR Open ,Vina del Mar,1
173,BRD Nastase Tiriac Trophy,Bucharest,1
174,Mutua Madrid Open,Madrid,1
175,ATP Vegeta Croatia Open,Umag,1
176,BB&T Atlanta Open,Atlanta,0
177,Crdit Agricole Suisse Open Gstaad,Gstaad,1
178,Citi Open,Washington,0
179,U.S. National Indoor Tennis Championships,Memphis,0
180,Portugal Open,Oeiras,1
181,Power Horse Cup,Dusseldorf,1
182,Topshelf Open,'s-Hertogenbosch,2
183,Claro Open Colombia,Bogota,1
184,Royal Guard Open Chile ,Vina del Mar,1
185,Delray Beach Open,Delray Beach,0
186,Rio Open,Rio de Janeiro,1
187,Dusseldorf Open,Dusseldorf,1
188,bet-at-home Open,Hamburg,1
189,Shenzhen Open,Shenzhen ,0
190,Ecuador Open,Quito,1
191,Memphis Open,Memphis,0
192,Argentina Open,Buenos Aires,1
193,Millenium Estoril Open,Estoril,1
194,Istanbul Open,Istanbul,1
195,Geneva Open,Geneva,1
196,AEGON Open,Nottingham,2
197,Konzum Croatia Open,Umag,1
198,Suisse Open Gstaad,Gstaad,1
199,ASB Classic,Auckland,0
200,Garanti Koza Sofia Open,Sofia,0
201,German Tennis Championships,Hamburg,1
202,Abierto Mexicano Mifel,Los Cabos,0
